Kitap Adı,Yazar,Tür,Başlama Tarihi,Bitiş Tarihi,Puan,Sayfa Sayısı,ISBN
İki Mermi Bir Hayat,Şefik Ünal,"Anı, Askeri, Politik",01/01/2024,06/01/2024,9/10,328,978-625-441-641-5
Süpermen Türk Olsaydı,Ahmet Şerif İzgören,"Düşünce, Eleştiri, Mizah",08/01/2024,12/01/2024,10/10,137,978-625-711-247-5
21. Yüzyıl İçin 21 Ders,Yuval Noah Harrari,"Eleştiri, Felsefe, Toplum",13/01/2024,12/02/2024,5/10,289,978-605-2205-08-2
MOKS,Ahmet Şerif İzgören,"Eleştiri, Mizah, Toplum, İş Geliştirme",12/02/2024,13/02/2024,10/10,197,978-975-6093-45-0
"Cesur Yeni Dünya ",Aldous Huxley,"Eleştiri, Felsefe, Politik, Roman, Toplum",13/02/2024,08/03/2024,9/10,266,978-975-6092-16-5
Beyaz Zambaklar Ülkesinde,Grigory Petrov,,08/03/2024,,-/10,203,978-605-81192-8-4
Daha İyi Bir Yaşam İçin Nöron Bilimi Ve Psikoloji Temelli Pratik İpuçları,Dr. Alok Kanojia,"Kişisel Gelişim, Psikoloji",07/04/2024,,,139,-
Eve’in Son Yüzü,"Evelyn Lancaster, James Poling","Biyografi, Psikoloji",14/04/2024,18/04/2024,10/10,204,975-7146-92-7
Dövüş Kulübü,Chuck Palahniuk,Roman,22/04/2024,25/04/2024,9/10,222,978-975-539-322-3
Endurance,Scott Kelly,"Anı, Otobiyografi",26/04/2024,22/07/2024,7/10,451,978-605-171-776-0
Dost Kazanmak Ve Başarılı Olmak,Paul Gregson,Kişisel Gelişim,25/06/2024,,3?/10,136,-
Dost Kazanma ve İnsanları Etkileme Sanatı,Dale Carnegie,Kişisel Gelişim,08/07/2024,16/07/2024,7/10,303,978-975-331-121-2
"Tüfek, Mikrop ve Çelik",Jared Diamond,"Tarih, Toplum",23/07/2024,,,595,978-605-299-457-3
Görmezden Gelemeyecekleri Kadar İyi Ol,Cal Newport,Kişisel Gelişim,31/07/2024,16/09/2024,10/10,240,978-625-414-388-5
How To Become a Straight-A Student,Cal Newport,Kişisel Gelişim,17/09/2024,,,215,978-0-7679-2271-5
Sabah 5 Kulübü,,"Kişisel Gelişim, İş Geliştirme",10/08/2024,20/11/2024,9/10,,
