Film Adı,Sinemada İzlendi,Yönetmen,Tür,İzlenme Tarihi,Puan
Mr. Nobody,No,Jaco Van Dormael,"Bilim-Kurgu, Dram, Fantastik, Romantik",05/01/2025,"7,7/10"
Eve’in 3 Yüzü,No,Nunnally Johnson,"Dram, Psikoloji",12/01/2025,9/10
Red Notice,No,Rawson Marshall Thurber,"Aksiyon, Gerilim, Komedi, Suç",19/01/2025,4/10
Inception,No,Christopher Nolan,"Aksiyon, Bilim-Kurgu, Macera",26/01/2025,10/10
The Invisible Man,No,Leigh Whannell,"Bilim-Kurgu, Gerilim, Korku",02/02/2025,3/10
Contratiempo,No,Oriol Paulo,"Gerilim, Gizem, Suç",16/02/2025,9.5/10
The Secret Of Kells,No,Tomm Moore,"Aile, Animasyon, Macera",21/02/2025,4/10
Maria,Yes,Pablo Larraín,"Biyografi, Dram, Müzikal",26/02/2025,7/10
Don’t Look Up,No,Adam McKay,"Bilim-Kurgu, Dram, Komedi",07/03/2025,8/10
Run,No,Aneesh Chaganty,"Gerilim, Gizem, Korku",03/09/2025,3/10
The Visit,No,M. Night Shyamalan,"Gerilim, Korku",03/09/2025,8/10
10 Cloverfield Lane,No,Daniel Trachtenberg,"Gerilim, Gizem",17/09/2025,1/10
Devil,No,M. Night Shyamalan,"Gerilim, Gizem, Korku",17/09/2025,5/10
Whiplash,No,Damien Chazelle,"Dram, Müzik",27/09/2025,10/10
